<before>	287 223 349 317 178 170 401 185 283 255 323 242 381 302 354 94 204 397 93 413 3 281 37 95 58 395 47 361 103 393 42 358 342 327 237 415 216 31 427 319 1 365 152 200 89 45 188 68 142 312 143 225 44 62 367 338 201 261 260 414 266 438 114 340 84 228 134 171 215 41 391 325 210 396 169 245 18 10 273 87 4 50 398 339 337 440 428 241 236 57 406 309 72 8 144 64 353 138 181 46 195 336 126 290 67 356 146 157 135 231 362 407 403 70 264 366 98 19 123 270 121 374 297 233 392 219 196 435 69 385 90 5 268 179 372 111 163 421 137 295 150 132 15 211 154 43 49 249 217 20 310 116 56 140 422 232 59 269 109 285 375 364 16 148 298 74 274 296 26 187 333 318 250 102 158 81 227 262 112 286 85 105 115 6 256 38 164 78 436 190 437 341 35 314 76 313 328 177 373 25 191 400 359 382 331 213 351 33 234 88 202 77 13 322 244 128 292 40 36 147 136 120 412 106 370 63 51 402 117 303 11 214 418 24 243 159 124 21 277 79 330 332 66 410 97 263 176 307 226 149 352 350 254 86 441 28 386 304 377 300 209 432 334 30 378 80 279 139 420 326 246 308 92 424 434 145 113 60 384 39 104 276 238 218 320 311 417 207 162 430 284 160 289 9 183 360 275 52 383 99 442 167 55 129 443 278 425 14 203 394 357 371 73 379 130 229 222 32 423 306 141 343 235 257 61 23 252 409 247 127 248 315 388 180 419 110 416 34 186 387 100 346 251 82 205 12 155 75 165 54 221 316 369 305 7 125 220 189 408 347 194 53 27 212 122 291 184 293 344 329 405 288 101 173 411 83 431 280 166 368 380 399 17 253 390 91 175 258 108 96 389 259 208 156 199 404 282 197 151 131 376 426 161 182 439 22 206 118 294 29 172 119 198 48 239 224 230 433 299 240 265 71 321 301 174 348 193 133 271 65 324 2 192 363 272 335 267 345 168 153 107 355 429 
debug:Remaining 2opt times:	9816
debug:After 2opt Total Distance:	6127
debug:Remaining 2opt times:	9815
debug:After 2opt Total Distance:	6127
debug:Remaining 2opt times:	9814
debug:After 2opt Total Distance:	6127
debug:Remaining 2opt times:	9813
debug:After 2opt Total Distance:	6127
debug:Remaining 2opt times:	9812
debug:After 2opt Total Distance:	6110
debug:Remaining 2opt times:	9811
debug:After 2opt Total Distance:	6105
debug:Remaining 2opt times:	9810
debug:After 2opt Total Distance:	6102
debug:Remaining 2opt times:	9809
debug:After 2opt Total Distance:	6101
debug:Remaining 2opt times:	9808
debug:After 2opt Total Distance:	6099
debug:Remaining 2opt times:	9807
debug:After 2opt Total Distance:	6087
debug:Remaining 2opt times:	9806
debug:After 2opt Total Distance:	6078
debug:Remaining 2opt times:	9805
debug:After 2opt Total Distance:	6077
debug:Remaining 2opt times:	9804
debug:After 2opt Total Distance:	6077
debug:Remaining 2opt times:	9803
debug:After 2opt Total Distance:	6076
debug:Remaining 2opt times:	9802
debug:After 2opt Total Distance:	6075
debug:Remaining 2opt times:	9801
debug:After 2opt Total Distance:	6037
debug:Remaining 2opt times:	9800
debug:After 2opt Total Distance:	6024
debug:Remaining 2opt times:	9799
debug:After 2opt Total Distance:	6022
debug:Remaining 2opt times:	9798
debug:After 2opt Total Distance:	6016
debug:Remaining 2opt times:	9797
debug:After 2opt Total Distance:	6014
debug:Remaining 2opt times:	9796
debug:After 2opt Total Distance:	6009
debug:Remaining 2opt times:	9795
debug:After 2opt Total Distance:	5999
debug:Remaining 2opt times:	9794
debug:After 2opt Total Distance:	5978
debug:Remaining 2opt times:	9793
debug:After 2opt Total Distance:	5978
debug:Remaining 2opt times:	9792
debug:After 2opt Total Distance:	5978
debug:Remaining 2opt times:	9791
debug:After 2opt Total Distance:	5976
debug:Remaining 2opt times:	9790
debug:After 2opt Total Distance:	5964
debug:Remaining 2opt times:	9789
debug:After 2opt Total Distance:	5964
debug:Remaining 2opt times:	9788
debug:After 2opt Total Distance:	5964
debug:Remaining 2opt times:	9787
debug:After 2opt Total Distance:	5960
debug:Remaining 2opt times:	9786
debug:After 2opt Total Distance:	5958
debug:Remaining 2opt times:	9785
debug:After 2opt Total Distance:	5955
debug:Remaining 2opt times:	9784
debug:After 2opt Total Distance:	5931
debug:Remaining 2opt times:	9783
debug:After 2opt Total Distance:	5931
debug:Remaining 2opt times:	9782
debug:After 2opt Total Distance:	5930
debug:Remaining 2opt times:	9781
debug:After 2opt Total Distance:	5920
debug:Remaining 2opt times:	9780
debug:After 2opt Total Distance:	5920
debug:Remaining 2opt times:	9779
debug:After 2opt Total Distance:	5919
debug:Remaining 2opt times:	9778
debug:After 2opt Total Distance:	5918
debug:Remaining 2opt times:	9777
debug:After 2opt Total Distance:	5918
debug:Remaining 2opt times:	9776
debug:After 2opt Total Distance:	5918
debug:Remaining 2opt times:	9775
debug:After 2opt Total Distance:	5918
debug:Remaining 2opt times:	9774
debug:After 2opt Total Distance:	5918
debug:Remaining 2opt times:	9773
debug:After 2opt Total Distance:	5910
debug:Remaining 2opt times:	9772
debug:After 2opt Total Distance:	5910
debug:Remaining 2opt times:	9771
debug:After 2opt Total Distance:	5910
debug:Remaining 2opt times:	9770
debug:After 2opt Total Distance:	5897
debug:Remaining 2opt times:	9769
debug:After 2opt Total Distance:	5892
debug:Remaining 2opt times:	9768
debug:After 2opt Total Distance:	5890
debug:Remaining 2opt times:	9767
debug:After 2opt Total Distance:	5890
debug:Remaining 2opt times:	9766
debug:After 2opt Total Distance:	5890
debug:Remaining 2opt times:	9765
debug:After 2opt Total Distance:	5890
debug:Remaining 2opt times:	9764
debug:After 2opt Total Distance:	5890
debug:Remaining 2opt times:	9763
debug:After 2opt Total Distance:	5890
debug:Remaining 2opt times:	9762
debug:After 2opt Total Distance:	5887
debug:Remaining 2opt times:	9761
debug:After 2opt Total Distance:	5887
debug:Remaining 2opt times:	9760
debug:After 2opt Total Distance:	5887
debug:Remaining 2opt times:	9759
debug:After 2opt Total Distance:	5887
debug:Remaining 2opt times:	9758
debug:After 2opt Total Distance:	5887
debug:Remaining 2opt times:	9757
debug:After 2opt Total Distance:	5887
debug:Remaining 2opt times:	9756
debug:After 2opt Total Distance:	5887
debug:Remaining 2opt times:	9755
debug:After 2opt Total Distance:	5887
debug:Remaining 2opt times:	9754
debug:After 2opt Total Distance:	5887
debug:Remaining 2opt times:	9753
debug:After 2opt Total Distance:	5887
debug:Remaining 2opt times:	9752
debug:After 2opt Total Distance:	5881
debug:Remaining 2opt times:	9751
debug:After 2opt Total Distance:	5881
debug:Remaining 2opt times:	9750
debug:After 2opt Total Distance:	5881
debug:Remaining 2opt times:	9749
debug:After 2opt Total Distance:	5881
debug:Remaining 2opt times:	9748
debug:After 2opt Total Distance:	5881
debug:Remaining 2opt times:	9747
debug:After 2opt Total Distance:	5881
debug:Remaining 2opt times:	9746
debug:After 2opt Total Distance:	5881
debug:Remaining 2opt times:	9745
debug:After 2opt Total Distance:	5878
debug:Remaining 2opt times:	9744
debug:After 2opt Total Distance:	5878
debug:Remaining 2opt times:	9743
debug:After 2opt Total Distance:	5878
debug:Remaining 2opt times:	9742
debug:After 2opt Total Distance:	5878
debug:Remaining 2opt times:	9741
debug:After 2opt Total Distance:	5875
debug:Remaining 2opt times:	9740
debug:After 2opt Total Distance:	5875
debug:Remaining 2opt times:	9739
debug:After 2opt Total Distance:	5872
debug:Remaining 2opt times:	9738
debug:After 2opt Total Distance:	5855
debug:Remaining 2opt times:	9737
debug:After 2opt Total Distance:	5844
debug:Remaining 2opt times:	9736
debug:After 2opt Total Distance:	5837
debug:Remaining 2opt times:	9735
debug:After 2opt Total Distance:	5837
debug:Remaining 2opt times:	9734
debug:After 2opt Total Distance:	5835
debug:Remaining 2opt times:	9733
debug:After 2opt Total Distance:	5833
debug:Remaining 2opt times:	9732
debug:After 2opt Total Distance:	5830
debug:Remaining 2opt times:	9731
debug:After 2opt Total Distance:	5828
debug:Remaining 2opt times:	9730
debug:After 2opt Total Distance:	5828
debug:Remaining 2opt times:	9729
debug:After 2opt Total Distance:	5826
debug:Remaining 2opt times:	9728
debug:After 2opt Total Distance:	5826
debug:Remaining 2opt times:	9727
debug:After 2opt Total Distance:	5826
debug:Remaining 2opt times:	9726
debug:After 2opt Total Distance:	5826
debug:Remaining 2opt times:	9725
debug:After 2opt Total Distance:	5826
debug:Remaining 2opt times:	9724
debug:After 2opt Total Distance:	5815
debug:Remaining 2opt times:	9723
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9722
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9721
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9720
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9719
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9718
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9717
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9716
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9715
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9714
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9713
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9712
debug:After 2opt Total Distance:	5803
debug:Remaining 2opt times:	9711
debug:After 2opt Total Distance:	5796
debug:Remaining 2opt times:	9710
debug:After 2opt Total Distance:	5790
debug:Remaining 2opt times:	9709
debug:After 2opt Total Distance:	5790
debug:Remaining 2opt times:	9708
debug:After 2opt Total Distance:	5790
debug:Remaining 2opt times:	9707
debug:After 2opt Total Distance:	5790
debug:Remaining 2opt times:	9706
debug:After 2opt Total Distance:	5788
debug:Remaining 2opt times:	9705
debug:After 2opt Total Distance:	5788
debug:Remaining 2opt times:	9704
debug:After 2opt Total Distance:	5788
debug:Remaining 2opt times:	9703
debug:After 2opt Total Distance:	5788
